voltage,current,temperature,cycle_count,capacity,soh
3.5298,1.8187,32.5723,1,1.8565,100.0
3.5373,1.8176,32.7252,2,1.8463,99.45
3.5437,1.8165,32.6429,3,1.8353,98.86
3.5437,1.8256,32.5149,4,1.8353,98.86
3.5423,1.8261,32.3823,5,1.8346,98.82
3.5413,1.8169,32.4342,6,1.8357,98.88
3.541,1.8168,32.4804,7,1.8351,98.85
3.5541,1.8444,32.4105,8,1.8258,98.34
3.5529,1.8541,32.3461,9,1.8248,98.29
3.5512,1.8537,32.2768,10,1.8246,98.28
3.5493,1.8634,32.1571,11,1.8246,98.28
3.5598,1.873,32.3641,12,1.8142,97.72
3.5581,1.8827,32.3182,13,1.8138,97.7
3.5557,1.8826,32.1571,14,1.8134,97.68
3.5627,1.8818,32.0441,15,1.8026,97.1
3.5615,1.8923,31.9316,16,1.8021,97.07
3.5603,1.9028,31.9417,17,1.8026,97.1
3.5591,1.9133,31.965,18,1.8031,97.12
3.5579,1.9132,31.9662,19,1.8028,97.11
3.552,1.8555,32.3714,20,1.847,99.49
3.5526,1.8747,32.7002,21,1.8474,99.51
3.5568,1.8739,32.3227,22,1.8362,98.91
3.5614,1.8833,31.988,23,1.8258,98.35
3.5566,1.8733,31.8945,24,1.8251,98.31
3.5587,1.914,31.7804,25,1.8256,98.34
3.5641,1.9031,31.6887,26,1.814,97.71
3.5596,1.9135,31.5967,27,1.8148,97.75
3.5568,1.9136,31.5656,28,1.814,97.71
3.5624,1.9026,31.5912,29,1.8028,97.11
3.5591,1.9131,31.6035,30,1.8041,97.18
3.5573,1.9206,31.9156,31,1.8518,99.75
3.5619,1.9299,32.0811,32,1.8307,98.61
3.5618,1.9293,31.8498,33,1.8199,98.03
3.5597,1.9234,31.4657,34,1.8093,97.46
3.5576,1.9285,31.4093,35,1.8046,97.21
3.5597,1.9232,31.9022,36,1.7994,96.92
3.5591,1.9171,31.649,37,1.7884,96.33
3.557,1.9221,31.4887,38,1.7829,96.04
3.5562,1.9163,31.33,39,1.773,95.5
3.5533,1.9221,31.5696,40,1.773,95.5
3.5563,1.9163,32.1114,41,1.7679,95.23
3.5563,1.9159,32.2717,42,1.7623,94.93
3.559,1.9114,31.8423,43,1.7676,95.21
3.5534,1.9158,31.7598,44,1.7627,94.95
3.551,1.9151,31.4191,45,1.7517,94.36
3.5513,1.9149,31.3316,46,1.7418,93.83
3.549,1.9144,31.3593,47,1.7361,93.51
3.5598,1.9389,34.3109,48,1.7936,96.61
3.5623,1.9275,33.4359,49,1.7832,96.05
3.5583,1.9267,32.667,50,1.7674,95.2
