voltage,current,temperature,cycle_count,capacity,soh
3.5298,1.8187,32.5723,1,1.8565,100.0
3.5373,1.8176,32.7252,2,1.8463,99.45
3.5437,1.8165,32.6429,3,1.8353,98.86
3.5437,1.8256,32.5149,4,1.8353,98.86
3.5423,1.8261,32.3823,5,1.8346,98.82
3.5413,1.8169,32.4342,6,1.8357,98.88
3.541,1.8168,32.4804,7,1.8351,98.85
3.5541,1.8444,32.4105,8,1.8258,98.34
3.5529,1.8541,32.3461,9,1.8248,98.29
3.5512,1.8537,32.2768,10,1.8246,98.28
3.5493,1.8634,32.1571,11,1.8246,98.28
3.5598,1.873,32.3641,12,1.8142,97.72
3.5581,1.8827,32.3182,13,1.8138,97.7
3.5557,1.8826,32.1571,14,1.8134,97.68
3.5627,1.8818,32.0441,15,1.8026,97.1
3.5615,1.8923,31.9316,16,1.8021,97.07
3.5603,1.9028,31.9417,17,1.8026,97.1
3.5591,1.9133,31.965,18,1.8031,97.12
3.5579,1.9132,31.9662,19,1.8028,97.11
3.552,1.8555,32.3714,20,1.847,99.49
3.5526,1.8747,32.7002,21,1.8474,99.51
3.5568,1.8739,32.3227,22,1.8362,98.91
3.5614,1.8833,31.988,23,1.8258,98.35
3.5566,1.8733,31.8945,24,1.8251,98.31
3.5587,1.914,31.7804,25,1.8256,98.34
3.5641,1.9031,31.6887,26,1.814,97.71
3.5596,1.9135,31.5967,27,1.8148,97.75
3.5568,1.9136,31.5656,28,1.814,97.71
3.5624,1.9026,31.5912,29,1.8028,97.11
3.5591,1.9131,31.6035,30,1.8041,97.18
3.5573,1.9206,31.9156,31,1.8518,99.75
3.5619,1.9299,32.0811,32,1.8307,98.61
3.5618,1.9293,31.8498,33,1.8199,98.03
3.5597,1.9234,31.4657,34,1.8093,97.46
3.5576,1.9285,31.4093,35,1.8046,97.21
3.5597,1.9232,31.9022,36,1.7994,96.92
3.5591,1.9171,31.649,37,1.7884,96.33
3.557,1.9221,31.4887,38,1.7829,96.04
3.5562,1.9163,31.33,39,1.773,95.5
3.5533,1.9221,31.5696,40,1.773,95.5
3.5563,1.9163,32.1114,41,1.7679,95.23
3.5563,1.9159,32.2717,42,1.7623,94.93
3.559,1.9114,31.8423,43,1.7676,95.21
3.5534,1.9158,31.7598,44,1.7627,94.95
3.551,1.9151,31.4191,45,1.7517,94.36
3.5513,1.9149,31.3316,46,1.7418,93.83
3.549,1.9144,31.3593,47,1.7361,93.51
3.5598,1.9389,34.3109,48,1.7936,96.61
3.5623,1.9275,33.4359,49,1.7832,96.05
3.5583,1.9267,32.667,50,1.7674,95.2
3.554,1.9262,32.2842,51,1.757,94.64
3.5524,1.9203,32.0074,52,1.7469,94.1
3.5496,1.9201,32.0639,53,1.7417,93.82
3.5494,1.9144,32.4375,54,1.7364,93.53
3.5472,1.9084,32.1681,55,1.7263,92.99
3.5467,1.9022,32.0575,56,1.7158,92.42
3.5446,1.9021,31.9759,57,1.7105,92.14
3.5436,1.8965,32.2169,58,1.706,91.89
3.5445,1.896,32.5563,59,1.7003,91.59
3.5409,1.89,32.4005,60,1.6946,91.28
3.5412,1.8894,32.2937,61,1.6849,90.76
3.5407,1.8777,32.1361,62,1.6745,90.2
3.5376,1.8832,32.3827,63,1.6746,90.2
3.5384,1.8764,32.309,64,1.6637,89.62
3.5393,1.871,32.5664,65,1.659,89.36
3.5337,1.8706,32.4654,66,1.6539,89.09
3.5344,1.864,32.3471,67,1.6427,88.48
3.5313,1.8637,32.3715,68,1.6379,88.22
3.5309,1.8579,32.4555,69,1.6327,87.95
3.5287,1.8573,32.5002,70,1.6278,87.68
3.5263,1.8569,32.501,71,1.6221,87.38
3.5287,1.8449,32.4729,72,1.6113,86.79
3.5256,1.8445,32.5048,73,1.6066,86.54
3.5227,1.8439,32.5122,74,1.6015,86.27
3.5247,1.8372,32.4569,75,1.5904,85.67
3.5213,1.8316,32.4471,76,1.5858,85.42
3.518,1.8312,32.3289,77,1.5849,85.37
3.5237,1.8433,32.8449,78,1.5955,85.94
3.5191,1.8298,32.3173,79,1.5747,84.82
3.5162,1.8237,32.0638,80,1.5649,84.29
3.5148,1.8177,32.22,81,1.5598,84.02
3.5133,1.818,32.712,82,1.5595,84.0
3.5145,1.8173,32.945,83,1.5547,83.74
3.511,1.8111,32.8575,84,1.5489,83.43
3.5109,1.8095,32.6297,85,1.5382,82.86
3.5094,1.8027,32.3799,86,1.5279,82.3
3.5067,1.8032,32.6822,87,1.5285,82.33
3.511,1.7966,32.9939,88,1.5226,82.02
3.5103,1.796,33.0454,89,1.5175,81.74
3.5222,1.8229,32.8563,90,1.6058,86.5
3.5163,1.8295,33.3395,91,1.5638,84.24
3.5134,1.8164,33.3516,92,1.5481,83.39
3.5151,1.8034,33.1475,93,1.5324,82.54
3.5083,1.8027,33.0073,94,1.527,82.25
3.5092,1.7959,32.9199,95,1.517,81.71
3.5068,1.7954,32.999,96,1.5119,81.44
3.5061,1.7894,33.0377,97,1.5066,81.15
3.5037,1.7885,33.0774,98,1.5015,80.88
3.5067,1.7816,33.0547,99,1.4908,80.3
3.5059,1.7753,33.1157,100,1.4859,80.04
3.5042,1.7743,33.1294,101,1.4804,79.74
3.5031,1.7739,33.1307,102,1.4752,79.46
3.4982,1.781,33.2007,103,1.4859,80.04
3.5066,1.788,33.787,104,1.4961,80.59
3.5015,1.7803,33.6734,105,1.4808,79.76
3.5017,1.7731,33.5358,106,1.4698,79.17
3.4966,1.7707,33.3227,107,1.4539,78.31
3.4992,1.7601,33.3462,108,1.4541,78.33
3.4961,1.7656,33.6495,109,1.455,78.38
3.4959,1.7589,33.7927,110,1.449,78.05
3.4976,1.7517,33.5245,111,1.4387,77.49
3.4957,1.7513,33.3904,112,1.4334,77.21
3.4929,1.7512,33.6737,113,1.4334,77.21
3.4955,1.7447,33.9108,114,1.4281,76.92
3.4942,1.7437,33.7851,115,1.4229,76.65
3.4912,1.7426,33.6113,116,1.4174,76.35
3.4889,1.742,33.456,117,1.4124,76.08
3.4874,1.7422,33.7233,118,1.4126,76.09
3.492,1.7359,34.0501,119,1.4076,75.82
