voltage,current,temperature,cycle_count,capacity,soh
3.5298,1.8187,32.5723,1,1.8565,100.0
3.5569,1.9905,32.1428,1,2.0353,100.0
3.522,1.8691,32.6249,1,1.8911,100.0
3.5275,1.9542,31.7733,1,1.855,100.0
3.4257,1.0702,33.1284,4,1.849,100.0
3.3957,1.0514,32.491,7,1.8165,100.0
3.4156,1.0486,33.5315,1,1.8233,100.0
3.6779,0.9971,30.0232,2,1.8048,100.0
3.3906,3.9343,52.8494,2,1.8447,100.0
3.3781,3.7839,54.1132,2,1.7816,100.0
3.4107,3.8451,53.9723,2,1.8329,100.0
3.3609,3.9467,53.4986,2,1.894,100.0
3.3541,2.0033,40.782,45,1.8851,100.0
3.305,1.9517,43.0089,46,1.8203,100.0
3.6265,1.9837,33.9876,114,2.4441,100.0
3.3532,0.688,8.798,25,0.8365,68.81
3.6829,0.9976,30.1597,8,1.7905,99.21
3.4588,1.8427,32.4826,163,1.411,74.61
3.4521,1.9757,30.7214,171,1.6332,66.82
3.5075,1.8293,30.7972,61,1.5801,85.18
3.5159,1.9306,31.421,44,1.7659,86.76
3.4611,1.9796,30.4246,86,1.7065,69.82
3.3295,1.961,39.2092,3,1.6451,90.37
3.546,1.9446,31.0081,29,1.8452,90.66
3.4227,3.9185,53.6289,39,1.675,91.39
3.4788,1.8094,31.3364,78,1.468,79.14
3.4409,0.9709,8.1508,7,1.4459,86.36
3.3831,1.8445,37.5505,11,1.4371,78.95
3.4355,1.7613,32.7122,79,1.5041,73.9
3.0592,1.8914,14.2305,74,0.8765,75.14
3.567,0.9813,9.395,10,0.5269,19.96
3.2036,1.235,12.1197,13,0.5737,21.73
3.1549,1.4447,13.5213,1,0.6435,27.61
2.9635,1.9878,13.2147,24,0.6914,29.07
3.3119,1.5784,12.0794,24,0.6778,29.08
2.9772,1.9885,13.146,22,0.7094,29.82
3.3078,1.6006,12.0946,22,0.7015,30.09
3.0221,1.9865,12.4198,23,0.7186,30.21
3.2841,1.6881,11.797,23,0.7047,30.23
2.9741,1.9894,13.3824,20,0.7349,30.9
3.0445,1.987,12.3009,21,0.7367,30.97
3.2934,1.6393,12.3685,20,0.7376,31.65
3.2715,1.7554,11.8101,21,0.7392,31.71
3.0487,1.9881,12.4317,19,0.7585,31.89
3.6538,1.3627,50.1731,46,0.557,32.12
